age,income,children,gender_FEMALE,gender_MALE,region_INNER_CITY,region_RURAL,region_SUBURBAN,region_TOWN,married_NO,married_YES,car_NO,car_YES,savings_acct_NO,savings_acct_YES,current_acct_NO,current_acct_YES,mortgage_NO,mortgage_YES,pep_NO,pep_YES
0.44776119402985076,0.19850736811758576,0.3333333333333333,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
0.3283582089552239,0.3971305288602426,1.0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
0.4925373134328358,0.183132768679283,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
0.07462686567164178,0.24332592535098158,1.0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
0.582089552238806,0.7217173741210612,0.0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0
0.582089552238806,0.5204393783630946,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
0.05970149253731343,0.06118887820548359,0.0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
0.5970149253731343,0.3157351247661575,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
0.2835820895522388,0.32140120164549085,0.6666666666666666,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
0.5373134328358209,0.3041004211936937,0.6666666666666666,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
0.7164179104477612,0.8678853668852101,0.0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
0.5074626865671642,0.34285689393807395,0.0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
0.3880597014925373,0.169833249115715,0.3333333333333333,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
0.7164179104477612,0.79503263894719,0.3333333333333333,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
0.26865671641791045,0.22905697915891152,0.0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
0.29850746268656714,0.27447905198946304,0.0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
0.2835820895522388,0.2014188160639695,0.6666666666666666,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
0.417910447761194,0.5702793120872611,0.0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
0.6567164179104478,0.34682330615665113,0.0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
0.19402985074626866,0.2773413949922462,0.0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
0.6417910447761194,0.8374212934875757,0.6666666666666666,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
0.47761194029850745,0.18189564090663568,0.6666666666666666,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
0.5373134328358209,0.5295792339945604,0.0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
0.13432835820895522,0.16671270915141906,0.0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
0.05970149253731343,0.12079958688486157,0.6666666666666666,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0
0.5671641791044776,0.5705644375662323,0.0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
